"id","description","type","level","lon","lat"
1,"Document printing","Printing Service","1",8.48595509,124.6562165
2,"Document printing","Printing Service","1",8.48563409,124.65581477
3,"Document printing","Printing Service","1",8.48573225,124.65728939
4,"Male & Female restroom","Restroom","1-4",8.48633475,124.65733498
5,"Male Restroom","Restroom","1",8.4859259,124.65651641
6,"Female Restroom","Restroom","1",8.48601875,124.65674758
7,"Male Restroom","Restroom","1, 4",8.486520, 124.655691
7,"Female Restroom","Restroom","1, 4",8.486624, 124.655989
8,"I <3 USTP","Landmark","1",8.485127, 124.656420
9,"Philippine Flag","Landmark","1",8.486051, 124.656321
10,"Statue","Landmark","1",8.485931, 124.657150
